,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
43,Agente,EPMC,981462.84,953879.44,945897.65,931519.64,1003147.35,1175921.42,1238777.91,1312488.32,1382780.64,1438686.0,1504141.73,1506496.86,1490379.87,1443682.05,1457663.14,1425187.96,1409223.65,1393720.84,1500703.08,1493064.46,1395653.64,1300353.9,1159433.06,1109953.35,2015-02-13
44,Agente,EPMC,973795.1,924766.61,914683.52,902408.59,936397.41,986474.34,1048566.85,1185150.73,1268225.28,1331978.19,1390559.42,1431321.81,1393474.97,1339711.0,1284061.03,1264093.02,1247588.13,1259134.97,1379927.24,1386759.81,1290487.63,1163341.08,1049932.67,921800.01,2015-02-14
45,Agente,EPMC,888332.26,833254.7,807157.8,799361.33,804940.98,831620.02,837809.65,866938.38,983747.17,1072023.49,1104241.2,1120088.31,1150982.67,1139681.99,1122648.84,1112024.74,1093687.96,1091181.3,1240514.37,1284553.76,1233733.97,1152655.46,1063337.4,1017908.14,2015-02-15
46,Agente,EPMC,903532.13,882995.86,888617.49,907632.91,994222.37,1130264.06,1192581.33,1272664.35,1389486.69,1446758.77,1477027.34,1520000.58,1515695.65,1481409.11,1493671.2,1482000.11,1476411.56,1433147.08,1522256.0,1561669.72,1475320.03,1333870.99,1185075.44,1040386.1,2015-02-16
47,Agente,EPMC,984971.37,946539.08,945077.68,962753.68,1048217.7,1176378.09,1244916.75,1317733.05,1400411.11,1436620.01,1491128.13,1529158.18,1501286.5,1494408.24,1497779.92,1506958.42,1465862.3,1443391.31,1552357.67,1558832.2,1473905.56,1354302.64,1188323.73,1045849.48,2015-02-17
48,Agente,EPMC,983878.02,940427.7,918547.67,941774.43,1029067.47,1188232.83,1257655.89,1316426.27,1355747.64,1411038.67,1460865.81,1495644.17,1453836.1,1432740.31,1430022.8,1455199.41,1463797.26,1418631.16,1517495.41,1526923.82,1434536.87,1301401.98,1178536.1,1111485.39,2015-02-18
49,Agente,EPMC,1008360.85,974390.05,962969.79,984439.59,1074932.16,1203263.64,1270955.59,1337035.68,1386083.58,1437529.96,1493472.86,1523443.36,1501865.21,1476928.87,1487829.81,1483716.73,1469206.33,1434575.16,1490045.14,1530309.89,1490665.56,1351714.86,1158946.55,971719.82,2015-02-19
50,Agente,EPMC,973321.46,960241.68,963026.56,978205.15,1054454.76,1188157.07,1255055.82,1340051.55,1407385.6,1460962.27,1492601.11,1528252.07,1504811.5,1491396.71,1512244.33,1509918.02,1480839.19,1460445.4,1528077.88,1515468.38,1412169.99,1299683.38,1150244.01,1123059.49,2015-02-20
51,Agente,EPMC,995916.03,962621.82,942066.33,947355.84,989412.33,1049560.51,1121659.19,1223823.01,1305586.75,1379045.07,1427559.4,1441415.12,1408656.89,1355613.01,1332349.75,1303121.84,1293580.78,1276382.09,1423193.73,1450820.56,1361586.21,1248525.16,1121536.08,947998.02,2015-02-21
52,Agente,EPMC,944391.88,905610.05,909491.18,857791.85,857543.84,876132.53,888297.91,940431.84,1054293.18,1112227.64,1151258.52,1200898.37,1179277.06,1156130.56,1153042.92,1119975.61,1108949.57,1093587.8,1224102.34,1314007.33,1261817.97,1177474.28,1059663.51,943387.43,2015-02-22
53,Agente,EPMC,909627.07,884199.51,881343.93,893959.97,991852.73,1117886.87,1189966.76,1293522.43,1365323.57,1412792.59,1487353.57,1523467.81,1494208.98,1474464.74,1485828.83,1491270.71,1471696.23,1457453.91,1563635.8,1567225.61,1475172.11,1326272.27,1175536.4,1082732.49,2015-02-23
54,Agente,EPMC,1027390.87,955824.73,943984.33,965363.45,1049869.58,1191883.77,1264092.29,1333756.36,1390189.53,1427502.88,1487667.11,1548667.16,1519557.23,1495277.41,1488945.23,1504170.44,1514974.98,1470893.41,1545496.84,1575533.77,1461614.13,1321369.74,1151970.73,1008809.26,2015-02-24
55,Agente,EPMC,967812.79,957849.51,946883.23,970005.35,1040350.24,1196338.36,1251054.32,1318653.91,1374775.19,1425664.93,1493150.94,1508568.3,1478840.51,1452927.34,1472968.56,1492764.45,1470061.37,1482750.33,1559083.57,1560468.11,1463070.04,1329758.42,1162411.2,1070851.38,2015-02-25
56,Agente,EPMC,988077.63,947552.76,949502.75,961531.72,1049727.77,1199067.47,1275964.32,1312182.97,1399575.5,1445300.34,1512122.01,1516654.82,1478781.46,1468243.08,1480988.52,1476652.81,1466381.06,1456330.25,1557747.69,1552233.3,1465891.12,1319771.49,1171781.14,1075682.68,2015-02-26
57,Agente,EPMC,986624.61,959349.79,949104.73,969091.38,1052250.56,1191585.21,1249135.58,1328607.54,1386149.09,1455692.49,1508559.69,1547299.89,1508050.56,1484020.01,1483320.17,1489772.92,1459960.17,1405750.97,1541473.73,1526624.7,1466693.92,1352722.96,1200972.42,1020704.61,2015-02-27
58,Agente,EPMC,1020346.77,983958.05,961901.0,962760.52,1012514.49,1069725.74,1137023.37,1241580.89,1314591.19,1384872.47,1425522.19,1456463.69,1437495.67,1383743.14,1327963.47,1310296.05,1303884.31,1349952.0,1435816.39,1432033.21,1355072.38,1213731.11,1098123.87,1046256.14,2015-02-28
59,Agente,EPMC,949283.22,897261.4,853934.76,842558.57,868817.82,864213.8,875938.37,945146.78,1006791.47,1089490.91,1147813.53,1200907.59,1207621.25,1192698.34,1150944.91,1126959.13,1111161.32,1135995.78,1252728.82,1289742.16,1250307.74,1168586.05,1050059.97,931342.29,2015-03-01
60,Agente,EPMC,855627.18,913606.81,875396.43,901662.31,962961.07,1136231.28,1193456.07,1286802.57,1364424.1,1440311.97,1497122.37,1511925.43,1480085.18,1472687.46,1478818.45,1483189.51,1461442.17,1428249.44,1551077.46,1567130.13,1495144.68,1354242.45,1186076.04,1119807.26,2015-03-02
61,Agente,EPMC,1006929.48,973483.92,965634.25,989409.77,1076889.27,1225011.96,1264260.68,1310961.7,1403451.47,1434300.3,1523940.02,1514030.9,1504908.91,1487932.11,1507204.2,1514535.45,1479773.51,1494314.75,1539629.15,1563160.71,1480114.46,1391397.66,1189594.19,1075291.61,2015-03-03
62,Agente,EPMC,985041.15,965913.04,945980.11,969739.51,1060238.88,1216231.9,1281942.66,1354843.37,1405444.03,1454745.61,1515783.36,1538090.39,1502863.11,1497328.77,1511238.53,1506166.9,1496511.68,1470993.86,1572272.09,1610022.53,1502370.98,1364446.5,1182457.35,1016857.97,2015-03-04
63,Agente,EPMC,1015880.45,996275.38,976808.27,981082.32,1058924.4,1211130.61,1266864.77,1355891.3,1424761.98,1459753.58,1525315.44,1556327.47,1514785.29,1500057.45,1513884.26,1512353.18,1495919.96,1472796.87,1568301.6,1581704.45,1511460.53,1359667.25,1196568.63,1132469.61,2015-03-05
64,Agente,EPMC,1007011.88,982869.3,963378.33,987066.1,1075811.31,1205917.66,1290310.64,1365707.23,1427945.91,1446944.63,1494174.05,1523730.83,1494959.98,1462142.16,1467396.79,1482742.78,1458372.86,1436687.54,1534560.38,1532649.14,1436165.75,1319070.53,1197612.87,1046576.34,2015-03-06
65,Agente,EPMC,988218.08,965627.68,969682.68,969351.03,1005269.65,1070715.77,1141756.8,1238375.71,1341547.0,1392959.89,1433367.59,1454018.68,1444816.7,1386303.38,1336377.96,1311734.21,1308147.67,1330497.41,1423015.22,1416711.79,1350016.6,1229023.87,1111777.06,1046264.16,2015-03-07
66,Agente,EPMC,942928.99,907367.59,879641.88,861725.87,876622.43,886111.93,902078.98,975152.66,1060628.47,1137460.02,1173832.84,1208634.53,1210592.57,1183444.09,1150863.93,1139750.86,1122646.69,1149092.0,1278525.89,1304304.2,1254801.64,1181405.74,1084616.85,947307.8,2015-03-08
67,Agente,EPMC,910174.11,904200.33,903360.28,929112.57,1012888.43,1145298.66,1221551.5,1312204.11,1409651.01,1459705.9,1532690.5,1558099.96,1540763.43,1508129.06,1526368.49,1502156.91,1499097.22,1477844.99,1576280.25,1577649.8,1487693.56,1343760.2,1209155.17,1125916.95,2015-03-09
68,Agente,EPMC,1009499.11,974435.27,966161.94,981266.2,1071415.11,1218336.82,1260249.29,1339372.28,1423339.32,1467702.21,1542559.46,1572142.23,1532785.07,1530650.47,1527811.69,1512989.9,1471670.18,1437785.36,1563658.2,1588172.4,1504688.21,1368947.43,1178834.84,1094138.27,2015-03-10
69,Agente,EPMC,1015770.36,985829.3,967757.07,988959.73,1071944.83,1202293.22,1275904.36,1292777.97,1413347.55,1489253.92,1561579.47,1601435.53,1552990.38,1525980.4,1566826.43,1548079.9,1507511.87,1461033.17,1552561.71,1587251.21,1510680.44,1405458.28,1268540.69,1082750.28,2015-03-11
70,Agente,EPMC,1017980.96,982805.19,973258.62,993104.64,1078190.24,1216893.77,1286725.89,1368260.13,1422497.95,1478219.87,1541480.31,1570514.13,1548692.07,1524161.12,1561078.34,1527266.34,1496073.97,1463161.97,1587053.11,1575365.91,1497035.62,1363081.44,1198616.72,1075173.64,2015-03-12
71,Agente,EPMC,1020703.28,980624.95,958463.5,980458.62,1067118.99,1190311.78,1255977.11,1359660.94,1396019.96,1444944.96,1506480.35,1531112.49,1522591.6,1486984.51,1504496.0,1540362.82,1517143.27,1480477.72,1537320.11,1540220.91,1477606.73,1332289.38,1178199.84,1082484.85,2015-03-13
72,Agente,EPMC,1015615.9,982782.5,959724.72,986606.89,1028245.99,1090239.85,1165482.15,1271510.54,1339497.82,1403328.4,1445977.7,1412787.21,1465781.16,1459526.71,1355782.76,1345506.45,1292606.84,1318381.88,1462437.75,1454720.65,1376762.23,1248909.68,1146429.96,1034460.84,2015-03-14
73,Agente,EPMC,962880.17,902338.05,884734.26,879342.97,883055.31,886358.97,899254.97,976288.23,1055857.0,1115673.12,1168973.8,1188486.4,1189203.9,1156093.94,1143351.11,1124875.79,1112176.87,1132017.07,1273741.2,1305640.0,1247159.52,1171959.06,1076511.56,1020081.28,2015-03-15
74,Agente,EPMC,934467.79,905286.41,903905.3,921439.15,1006637.63,1135319.66,1209610.3,1292426.55,1369394.4,1422905.45,1494128.19,1512671.56,1483403.12,1468744.05,1474462.93,1483159.5,1458604.11,1428120.05,1531480.17,1525431.76,1426018.6,1290000.82,1162878.89,1018443.05,2015-03-16
75,Agente,EPMC,955271.0,930621.8,918811.42,936510.77,969097.95,1172535.07,1232200.98,1269223.21,1374784.22,1430451.31,1499687.58,1536478.69,1472751.51,1444912.73,1459316.47,1473292.53,1453829.97,1447983.34,1552780.39,1533358.86,1436087.58,1289019.82,1149098.45,1028260.82,2015-03-17
76,Agente,EPMC,968308.92,943591.0,938061.37,946273.16,1016524.51,1183431.8,1239219.62,1298175.12,1360182.82,1383281.07,1447860.56,1481490.66,1464442.93,1448060.74,1436571.73,1420366.56,1436316.43,1416024.73,1498234.9,1497439.56,1400509.69,1252088.3,1149059.62,998988.91,2015-03-18
77,Agente,EPMC,933093.35,910050.8,902846.83,925027.19,1004678.72,1140275.34,1206983.78,1266644.27,1336963.88,1358549.45,1421386.75,1448584.42,1412859.16,1378699.73,1384260.53,1398948.08,1387539.91,1379186.1,1502555.82,1471020.28,1389831.11,1260465.45,1103988.0,961360.55,2015-03-19
78,Agente,EPMC,965844.17,889107.47,896025.59,902927.82,992183.11,1138997.41,1198504.53,1277705.05,1345369.48,1402109.37,1490869.58,1515558.09,1472932.57,1452981.91,1462042.97,1437954.98,1416529.77,1411166.12,1494845.87,1470480.53,1373404.05,1253043.61,1141157.36,1032338.33,2015-03-20
79,Agente,EPMC,1007233.06,949210.77,906361.32,902320.34,925240.83,1013935.94,1103474.57,1196775.11,1290347.82,1345184.34,1388053.57,1418923.97,1397771.97,1331767.98,1296521.36,1272020.04,1255193.12,1267117.98,1392246.58,1389804.96,1306034.61,1177443.44,1104076.04,987665.06,2015-03-21
80,Agente,EPMC,915044.25,851123.03,834497.39,830579.34,844221.0,856988.61,865042.74,947544.32,1007760.61,1090980.35,1132950.28,1183458.9,1187950.35,1170926.82,1138534.27,1105862.67,1093918.28,1109691.3,1233740.36,1262407.56,1193337.48,1101071.82,1005064.39,931876.61,2015-03-22
81,Agente,EPMC,871249.02,843288.61,825172.62,821688.32,841849.68,847387.14,878167.88,964852.68,1048117.62,1131612.14,1187679.75,1234674.11,1229500.01,1197338.66,1168613.22,1145871.99,1145849.37,1157295.77,1284417.79,1328038.54,1240000.46,1131796.34,1023507.06,920505.17,2015-03-23
82,Agente,EPMC,914754.18,890898.05,881071.81,901598.36,997881.61,1122369.1,1195189.47,1273284.2,1346847.06,1399874.01,1477317.21,1508960.34,1466178.39,1462289.86,1444637.9,1448989.91,1435969.72,1416078.84,1535176.88,1528526.62,1440487.85,1308798.81,1155677.56,1046664.0,2015-03-24
83,Agente,EPMC,980836.38,947454.41,936945.35,948916.96,1022167.4,1130463.68,1208507.78,1287303.14,1356088.13,1400832.14,1460679.18,1508898.3,1482098.43,1468657.7,1465305.04,1471107.02,1444981.79,1415667.52,1501086.24,1529129.33,1449266.99,1323235.53,1188244.54,1030092.75,2015-03-25
