fecha,region,consumo,mes,dia_semana,fin_de_semana,temperatura
2018-09-19,Antioquia,27.55070977,9,3,0,21.170833333333334
2018-09-20,Antioquia,27.55980576,9,4,0,21.916666666666668
2018-09-21,Antioquia,27.99631007,9,5,0,22.758333333333336
2018-09-22,Antioquia,25.75741378,9,6,1,20.820833333333333
2018-09-23,Antioquia,22.48843943,9,7,1,21.93541666666667
2018-09-24,Antioquia,27.28954579,9,1,0,21.758333333333336
2018-09-25,Antioquia,27.77992497,9,2,0,21.864583333333332
2018-09-26,Antioquia,27.69980478,9,3,0,21.414583333333336
2018-09-27,Antioquia,27.46378362,9,4,0,18.564583333333335
2018-09-28,Antioquia,27.23422725,9,5,0,19.337500000000002
2018-09-29,Antioquia,25.2058748899999,9,6,1,19.179166666666667
2018-09-30,Antioquia,21.70399674,9,7,1,20.5625
2018-10-01,Antioquia,26.52336517,10,1,0,21.241666666666667
2018-10-02,Antioquia,27.19870839,10,2,0,20.1375
2018-10-03,Antioquia,27.04102823,10,3,0,18.885416666666668
2018-10-04,Antioquia,27.04101928,10,4,0,19.208333333333332
2018-10-05,Antioquia,27.00312609,10,5,0,19.270833333333332
2018-10-06,Antioquia,24.91237954,10,6,1,18.795833333333334
2018-10-07,Antioquia,21.78636679,10,7,1,19.645833333333332
2018-10-08,Antioquia,26.81308396,10,1,0,19.902083333333334
2018-10-09,Antioquia,26.86355258,10,2,0,18.116666666666667
2018-10-10,Antioquia,26.89829332,10,3,0,18.464583333333334
2018-10-11,Antioquia,27.01961396,10,4,0,19.368750000000002
2018-10-12,Antioquia,27.25934585,10,5,0,19.389583333333334
2018-10-13,Antioquia,25.62433224,10,6,1,20.529166666666665
2018-10-14,Antioquia,21.80966191,10,7,1,20.083333333333332
2018-10-15,Antioquia,22.37043873,10,1,0,20.787499999999998
2018-10-16,Antioquia,26.9995630799999,10,2,0,19.377083333333335
2018-10-17,Antioquia,27.20586833,10,3,0,19.675
2018-10-18,Antioquia,27.10386835,10,4,0,19.142553191489363
2018-10-19,Antioquia,27.63677786,10,5,0,20.197916666666668
2018-10-20,Antioquia,25.65641738,10,6,1,18.879166666666666
2018-10-21,Antioquia,22.26704903,10,7,1,17.870833333333334
2018-10-22,Antioquia,26.85302634,10,1,0,19.258333333333333
2018-10-23,Antioquia,27.38760786,10,2,0,19.533333333333335
2018-10-24,Antioquia,27.6148837,10,3,0,19.525000000000002
2018-10-25,Antioquia,27.70291387,10,4,0,19.991666666666667
2018-10-26,Antioquia,27.57158693,10,5,0,19.925
2018-10-27,Antioquia,25.99869765,10,6,1,21.210416666666667
2018-10-28,Antioquia,22.64510885,10,7,1,21.029166666666665
2018-10-29,Antioquia,27.46728152,10,1,0,20.104166666666668
2018-10-30,Antioquia,27.78626972,10,2,0,19.310416666666665
2018-10-31,Antioquia,27.51153884,10,3,0,20.695833333333333
2018-11-01,Antioquia,27.69122489,11,4,0,19.653488372093022
2018-11-02,Antioquia,27.11667015,11,5,0,18.150000000000002
2018-11-03,Antioquia,24.9661843199999,11,6,1,17.685416666666665
2018-11-04,Antioquia,21.43944805,11,7,1,18.45625
2018-11-05,Antioquia,21.75999727,11,1,0,18.224999999999998
2018-11-06,Antioquia,26.6526448399999,11,2,0,18.983333333333334
2018-11-07,Antioquia,27.25551337,11,3,0,19.983333333333334
2018-11-08,Antioquia,27.89018902,11,4,0,20.145833333333332
2018-11-09,Antioquia,27.76049199,11,5,0,19.879166666666666
2018-11-10,Antioquia,26.20894386,11,6,1,20.464583333333334
2018-11-11,Antioquia,22.721214,11,7,1,20.752083333333335
2018-11-12,Antioquia,22.94189723,11,1,0,20.879166666666666
2018-11-13,Antioquia,27.25706513,11,2,0,20.222916666666666
2018-11-14,Antioquia,27.68627301,11,3,0,19.764583333333334
2018-11-15,Antioquia,27.99040097,11,4,0,20.243750000000002
2018-11-16,Antioquia,28.46876746,11,5,0,21.085416666666667
2018-11-17,Antioquia,26.80167146,11,6,1,20.962500000000002
2018-11-18,Antioquia,23.19633158,11,7,1,20.48723404255319
2018-11-19,Antioquia,27.52012054,11,1,0,20.397916666666667
2018-11-20,Antioquia,28.15544127,11,2,0,20.597916666666666
2018-11-21,Antioquia,27.84975478,11,3,0,20.229166666666668
2018-11-22,Antioquia,28.22991641,11,4,0,19.724999999999998
